geo,country,year,cofog,function,unit,value
AT,Austria,1995,GF01,Servizi generali,MIO_EUR,17152.3
AT,Austria,1996,GF01,Servizi generali,MIO_EUR,17711.9
AT,Austria,1997,GF01,Servizi generali,MIO_EUR,16350.9
AT,Austria,1998,GF01,Servizi generali,MIO_EUR,16705.3
AT,Austria,1999,GF01,Servizi generali,MIO_EUR,17352.1
AT,Austria,2000,GF01,Servizi generali,MIO_EUR,17726.3
AT,Austria,2001,GF01,Servizi generali,MIO_EUR,19060.5
AT,Austria,2002,GF01,Servizi generali,MIO_EUR,18624.1
AT,Austria,2003,GF01,Servizi generali,MIO_EUR,18148.5
AT,Austria,2004,GF01,Servizi generali,MIO_EUR,18548.2
AT,Austria,2005,GF01,Servizi generali,MIO_EUR,19807.1
AT,Austria,2006,GF01,Servizi generali,MIO_EUR,20821.8
AT,Austria,2007,GF01,Servizi generali,MIO_EUR,21514.2
AT,Austria,2008,GF01,Servizi generali,MIO_EUR,21245.6
AT,Austria,2009,GF01,Servizi generali,MIO_EUR,22321.0
AT,Austria,2010,GF01,Servizi generali,MIO_EUR,22650.2
AT,Austria,2011,GF01,Servizi generali,MIO_EUR,22812.1
AT,Austria,2012,GF01,Servizi generali,MIO_EUR,23108.0
AT,Austria,2013,GF01,Servizi generali,MIO_EUR,23325.5
AT,Austria,2014,GF01,Servizi generali,MIO_EUR,22646.1
AT,Austria,2015,GF01,Servizi generali,MIO_EUR,23375.3
AT,Austria,2016,GF01,Servizi generali,MIO_EUR,23217.6
AT,Austria,2017,GF01,Servizi generali,MIO_EUR,22157.9
AT,Austria,2018,GF01,Servizi generali,MIO_EUR,22733.6
AT,Austria,2019,GF01,Servizi generali,MIO_EUR,22810.7
AT,Austria,2020,GF01,Servizi generali,MIO_EUR,23357.1
AT,Austria,2021,GF01,Servizi generali,MIO_EUR,23511.7
AT,Austria,2022,GF01,Servizi generali,MIO_EUR,23974.3
AT,Austria,2023,GF01,Servizi generali,MIO_EUR,26836.0
AT,Austria,2024,GF01,Servizi generali,MIO_EUR,29860.2
AT,Austria,1995,GF01,Servizi generali,PC_GDP,9.3
AT,Austria,1996,GF01,Servizi generali,PC_GDP,9.5
AT,Austria,1997,GF01,Servizi generali,PC_GDP,8.7
AT,Austria,1998,GF01,Servizi generali,PC_GDP,8.6
AT,Austria,1999,GF01,Servizi generali,PC_GDP,8.5
AT,Austria,2000,GF01,Servizi generali,PC_GDP,8.3
AT,Austria,2001,GF01,Servizi generali,PC_GDP,8.7
AT,Austria,2002,GF01,Servizi generali,PC_GDP,8.3
AT,Austria,2003,GF01,Servizi generali,PC_GDP,7.9
AT,Austria,2004,GF01,Servizi generali,PC_GDP,7.7
AT,Austria,2005,GF01,Servizi generali,PC_GDP,7.8
AT,Austria,2006,GF01,Servizi generali,PC_GDP,7.8
AT,Austria,2007,GF01,Servizi generali,PC_GDP,7.6
AT,Austria,2008,GF01,Servizi generali,PC_GDP,7.3
AT,Austria,2009,GF01,Servizi generali,PC_GDP,7.8
AT,Austria,2010,GF01,Servizi generali,PC_GDP,7.7
AT,Austria,2011,GF01,Servizi generali,PC_GDP,7.4
AT,Austria,2012,GF01,Servizi generali,PC_GDP,7.3
AT,Austria,2013,GF01,Servizi generali,PC_GDP,7.3
AT,Austria,2014,GF01,Servizi generali,PC_GDP,6.9
AT,Austria,2015,GF01,Servizi generali,PC_GDP,6.8
AT,Austria,2016,GF01,Servizi generali,PC_GDP,6.5
AT,Austria,2017,GF01,Servizi generali,PC_GDP,6.0
AT,Austria,2018,GF01,Servizi generali,PC_GDP,5.9
AT,Austria,2019,GF01,Servizi generali,PC_GDP,5.8
AT,Austria,2020,GF01,Servizi generali,PC_GDP,6.1
AT,Austria,2021,GF01,Servizi generali,PC_GDP,5.8
AT,Austria,2022,GF01,Servizi generali,PC_GDP,5.3
AT,Austria,2023,GF01,Servizi generali,PC_GDP,5.6
AT,Austria,2024,GF01,Servizi generali,PC_GDP,6.0
AT,Austria,1995,GF02,Difesa,MIO_EUR,1719.2
AT,Austria,1996,GF02,Difesa,MIO_EUR,1687.3
AT,Austria,1997,GF02,Difesa,MIO_EUR,1679.7
AT,Austria,1998,GF02,Difesa,MIO_EUR,1728.1
AT,Austria,1999,GF02,Difesa,MIO_EUR,1742.1
AT,Austria,2000,GF02,Difesa,MIO_EUR,1862.5
AT,Austria,2001,GF02,Difesa,MIO_EUR,1831.9
AT,Austria,2002,GF02,Difesa,MIO_EUR,1787.9
AT,Austria,2003,GF02,Difesa,MIO_EUR,1921.8
AT,Austria,2004,GF02,Difesa,MIO_EUR,2029.6
AT,Austria,2005,GF02,Difesa,MIO_EUR,2021.2
AT,Austria,2006,GF02,Difesa,MIO_EUR,1932.9
AT,Austria,2007,GF02,Difesa,MIO_EUR,2185.6
AT,Austria,2008,GF02,Difesa,MIO_EUR,2660.1
AT,Austria,2009,GF02,Difesa,MIO_EUR,2058.2
AT,Austria,2010,GF02,Difesa,MIO_EUR,1936.4
AT,Austria,2011,GF02,Difesa,MIO_EUR,1977.5
AT,Austria,2012,GF02,Difesa,MIO_EUR,1914.0
AT,Austria,2013,GF02,Difesa,MIO_EUR,2062.8
AT,Austria,2014,GF02,Difesa,MIO_EUR,1959.0
AT,Austria,2015,GF02,Difesa,MIO_EUR,1942.1
AT,Austria,2016,GF02,Difesa,MIO_EUR,2168.3
AT,Austria,2017,GF02,Difesa,MIO_EUR,2234.1
AT,Austria,2018,GF02,Difesa,MIO_EUR,2277.8
AT,Austria,2019,GF02,Difesa,MIO_EUR,2429.3
AT,Austria,2020,GF02,Difesa,MIO_EUR,2379.6
AT,Austria,2021,GF02,Difesa,MIO_EUR,2431.0
AT,Austria,2022,GF02,Difesa,MIO_EUR,2691.2
AT,Austria,2023,GF02,Difesa,MIO_EUR,2857.8
AT,Austria,2024,GF02,Difesa,MIO_EUR,3339.5
AT,Austria,1995,GF02,Difesa,PC_GDP,0.9
AT,Austria,1996,GF02,Difesa,PC_GDP,0.9
AT,Austria,1997,GF02,Difesa,PC_GDP,0.9
AT,Austria,1998,GF02,Difesa,PC_GDP,0.9
AT,Austria,1999,GF02,Difesa,PC_GDP,0.9
AT,Austria,2000,GF02,Difesa,PC_GDP,0.9
AT,Austria,2001,GF02,Difesa,PC_GDP,0.8
AT,Austria,2002,GF02,Difesa,PC_GDP,0.8
AT,Austria,2003,GF02,Difesa,PC_GDP,0.8
AT,Austria,2004,GF02,Difesa,PC_GDP,0.8
AT,Austria,2005,GF02,Difesa,PC_GDP,0.8
AT,Austria,2006,GF02,Difesa,PC_GDP,0.7
AT,Austria,2007,GF02,Difesa,PC_GDP,0.8
AT,Austria,2008,GF02,Difesa,PC_GDP,0.9
AT,Austria,2009,GF02,Difesa,PC_GDP,0.7
AT,Austria,2010,GF02,Difesa,PC_GDP,0.7
AT,Austria,2011,GF02,Difesa,PC_GDP,0.6
AT,Austria,2012,GF02,Difesa,PC_GDP,0.6
AT,Austria,2013,GF02,Difesa,PC_GDP,0.6
AT,Austria,2014,GF02,Difesa,PC_GDP,0.6
AT,Austria,2015,GF02,Difesa,PC_GDP,0.6
AT,Austria,2016,GF02,Difesa,PC_GDP,0.6
AT,Austria,2017,GF02,Difesa,PC_GDP,0.6
AT,Austria,2018,GF02,Difesa,PC_GDP,0.6
AT,Austria,2019,GF02,Difesa,PC_GDP,0.6
AT,Austria,2020,GF02,Difesa,PC_GDP,0.6
AT,Austria,2021,GF02,Difesa,PC_GDP,0.6
AT,Austria,2022,GF02,Difesa,PC_GDP,0.6
AT,Austria,2023,GF02,Difesa,PC_GDP,0.6
AT,Austria,2024,GF02,Difesa,PC_GDP,0.7
AT,Austria,1995,GF03,Ordine pubblico e sicurezza,MIO_EUR,2762.3
AT,Austria,1996,GF03,Ordine pubblico e sicurezza,MIO_EUR,2795.7
AT,Austria,1997,GF03,Ordine pubblico e sicurezza,MIO_EUR,2812.6
AT,Austria,1998,GF03,Ordine pubblico e sicurezza,MIO_EUR,2892.3
AT,Austria,1999,GF03,Ordine pubblico e sicurezza,MIO_EUR,3045.0
AT,Austria,2000,GF03,Ordine pubblico e sicurezza,MIO_EUR,3018.6
AT,Austria,2001,GF03,Ordine pubblico e sicurezza,MIO_EUR,3147.8
AT,Austria,2002,GF03,Ordine pubblico e sicurezza,MIO_EUR,3236.3
AT,Austria,2003,GF03,Ordine pubblico e sicurezza,MIO_EUR,3311.5
AT,Austria,2004,GF03,Ordine pubblico e sicurezza,MIO_EUR,3502.2
AT,Austria,2005,GF03,Ordine pubblico e sicurezza,MIO_EUR,3474.7
AT,Austria,2006,GF03,Ordine pubblico e sicurezza,MIO_EUR,3630.9
AT,Austria,2007,GF03,Ordine pubblico e sicurezza,MIO_EUR,3678.9
AT,Austria,2008,GF03,Ordine pubblico e sicurezza,MIO_EUR,3898.6
AT,Austria,2009,GF03,Ordine pubblico e sicurezza,MIO_EUR,4025.7
AT,Austria,2010,GF03,Ordine pubblico e sicurezza,MIO_EUR,4012.0
AT,Austria,2011,GF03,Ordine pubblico e sicurezza,MIO_EUR,4085.1
AT,Austria,2012,GF03,Ordine pubblico e sicurezza,MIO_EUR,4239.7
AT,Austria,2013,GF03,Ordine pubblico e sicurezza,MIO_EUR,4263.1
AT,Austria,2014,GF03,Ordine pubblico e sicurezza,MIO_EUR,4414.6
AT,Austria,2015,GF03,Ordine pubblico e sicurezza,MIO_EUR,4621.0
AT,Austria,2016,GF03,Ordine pubblico e sicurezza,MIO_EUR,4805.9
AT,Austria,2017,GF03,Ordine pubblico e sicurezza,MIO_EUR,5041.7
AT,Austria,2018,GF03,Ordine pubblico e sicurezza,MIO_EUR,5226.5
AT,Austria,2019,GF03,Ordine pubblico e sicurezza,MIO_EUR,5302.6
AT,Austria,2020,GF03,Ordine pubblico e sicurezza,MIO_EUR,5457.7
AT,Austria,2021,GF03,Ordine pubblico e sicurezza,MIO_EUR,5668.7
AT,Austria,2022,GF03,Ordine pubblico e sicurezza,MIO_EUR,5978.7
AT,Austria,2023,GF03,Ordine pubblico e sicurezza,MIO_EUR,6447.8
AT,Austria,2024,GF03,Ordine pubblico e sicurezza,MIO_EUR,7398.4
AT,Austria,1995,GF03,Ordine pubblico e sicurezza,PC_GDP,1.5
AT,Austria,1996,GF03,Ordine pubblico e sicurezza,PC_GDP,1.5
AT,Austria,1997,GF03,Ordine pubblico e sicurezza,PC_GDP,1.5
AT,Austria,1998,GF03,Ordine pubblico e sicurezza,PC_GDP,1.5
AT,Austria,1999,GF03,Ordine pubblico e sicurezza,PC_GDP,1.5
AT,Austria,2000,GF03,Ordine pubblico e sicurezza,PC_GDP,1.4
AT,Austria,2001,GF03,Ordine pubblico e sicurezza,PC_GDP,1.4
AT,Austria,2002,GF03,Ordine pubblico e sicurezza,PC_GDP,1.4
AT,Austria,2003,GF03,Ordine pubblico e sicurezza,PC_GDP,1.4
AT,Austria,2004,GF03,Ordine pubblico e sicurezza,PC_GDP,1.5
AT,Austria,2005,GF03,Ordine pubblico e sicurezza,PC_GDP,1.4
AT,Austria,2006,GF03,Ordine pubblico e sicurezza,PC_GDP,1.4
AT,Austria,2007,GF03,Ordine pubblico e sicurezza,PC_GDP,1.3
AT,Austria,2008,GF03,Ordine pubblico e sicurezza,PC_GDP,1.3
AT,Austria,2009,GF03,Ordine pubblico e sicurezza,PC_GDP,1.4
AT,Austria,2010,GF03,Ordine pubblico e sicurezza,PC_GDP,1.4
AT,Austria,2011,GF03,Ordine pubblico e sicurezza,PC_GDP,1.3
AT,Austria,2012,GF03,Ordine pubblico e sicurezza,PC_GDP,1.3
AT,Austria,2013,GF03,Ordine pubblico e sicurezza,PC_GDP,1.3
AT,Austria,2014,GF03,Ordine pubblico e sicurezza,PC_GDP,1.3
AT,Austria,2015,GF03,Ordine pubblico e sicurezza,PC_GDP,1.4
AT,Austria,2016,GF03,Ordine pubblico e sicurezza,PC_GDP,1.4
AT,Austria,2017,GF03,Ordine pubblico e sicurezza,PC_GDP,1.4
AT,Austria,2018,GF03,Ordine pubblico e sicurezza,PC_GDP,1.4
AT,Austria,2019,GF03,Ordine pubblico e sicurezza,PC_GDP,1.3
AT,Austria,2020,GF03,Ordine pubblico e sicurezza,PC_GDP,1.4
AT,Austria,2021,GF03,Ordine pubblico e sicurezza,PC_GDP,1.4
AT,Austria,2022,GF03,Ordine pubblico e sicurezza,PC_GDP,1.3
AT,Austria,2023,GF03,Ordine pubblico e sicurezza,PC_GDP,1.3
AT,Austria,2024,GF03,Ordine pubblico e sicurezza,PC_GDP,1.5
AT,Austria,1995,GF04,Affari economici,MIO_EUR,11617.0
AT,Austria,1996,GF04,Affari economici,MIO_EUR,11215.2
AT,Austria,1997,GF04,Affari economici,MIO_EUR,10163.6
AT,Austria,1998,GF04,Affari economici,MIO_EUR,11141.1
AT,Austria,1999,GF04,Affari economici,MIO_EUR,11036.3
AT,Austria,2000,GF04,Affari economici,MIO_EUR,11040.2
AT,Austria,2001,GF04,Affari economici,MIO_EUR,11673.3
AT,Austria,2002,GF04,Affari economici,MIO_EUR,11337.7
AT,Austria,2003,GF04,Affari economici,MIO_EUR,12209.4
AT,Austria,2004,GF04,Affari economici,MIO_EUR,20860.8
AT,Austria,2005,GF04,Affari economici,MIO_EUR,16770.8
AT,Austria,2006,GF04,Affari economici,MIO_EUR,17424.0
AT,Austria,2007,GF04,Affari economici,MIO_EUR,17204.3
AT,Austria,2008,GF04,Affari economici,MIO_EUR,19077.8
AT,Austria,2009,GF04,Affari economici,MIO_EUR,22591.3
AT,Austria,2010,GF04,Affari economici,MIO_EUR,19905.6
AT,Austria,2011,GF04,Affari economici,MIO_EUR,19379.4
AT,Austria,2012,GF04,Affari economici,MIO_EUR,20753.8
AT,Austria,2013,GF04,Affari economici,MIO_EUR,21466.7
AT,Austria,2014,GF04,Affari economici,MIO_EUR,23059.8
AT,Austria,2015,GF04,Affari economici,MIO_EUR,20404.6
AT,Austria,2016,GF04,Affari economici,MIO_EUR,21124.8
AT,Austria,2017,GF04,Affari economici,MIO_EUR,22229.5
AT,Austria,2018,GF04,Affari economici,MIO_EUR,23102.3
AT,Austria,2019,GF04,Affari economici,MIO_EUR,23760.8
AT,Austria,2020,GF04,Affari economici,MIO_EUR,38565.2
AT,Austria,2021,GF04,Affari economici,MIO_EUR,38254.1
AT,Austria,2022,GF04,Affari economici,MIO_EUR,36391.3
AT,Austria,2023,GF04,Affari economici,MIO_EUR,35246.1
AT,Austria,2024,GF04,Affari economici,MIO_EUR,35028.6
AT,Austria,1995,GF04,Affari economici,PC_GDP,6.3
AT,Austria,1996,GF04,Affari economici,PC_GDP,6.0
AT,Austria,1997,GF04,Affari economici,PC_GDP,5.4
AT,Austria,1998,GF04,Affari economici,PC_GDP,5.7
AT,Austria,1999,GF04,Affari economici,PC_GDP,5.4
AT,Austria,2000,GF04,Affari economici,PC_GDP,5.2
AT,Austria,2001,GF04,Affari economici,PC_GDP,5.3
AT,Austria,2002,GF04,Affari economici,PC_GDP,5.0
AT,Austria,2003,GF04,Affari economici,PC_GDP,5.3
AT,Austria,2004,GF04,Affari economici,PC_GDP,8.7
AT,Austria,2005,GF04,Affari economici,PC_GDP,6.6
AT,Austria,2006,GF04,Affari economici,PC_GDP,6.6
AT,Austria,2007,GF04,Affari economici,PC_GDP,6.1
AT,Austria,2008,GF04,Affari economici,PC_GDP,6.5
AT,Austria,2009,GF04,Affari economici,PC_GDP,7.9
AT,Austria,2010,GF04,Affari economici,PC_GDP,6.8
AT,Austria,2011,GF04,Affari economici,PC_GDP,6.3
AT,Austria,2012,GF04,Affari economici,PC_GDP,6.6
AT,Austria,2013,GF04,Affari economici,PC_GDP,6.7
AT,Austria,2014,GF04,Affari economici,PC_GDP,7.0
AT,Austria,2015,GF04,Affari economici,PC_GDP,6.0
AT,Austria,2016,GF04,Affari economici,PC_GDP,5.9
AT,Austria,2017,GF04,Affari economici,PC_GDP,6.1
AT,Austria,2018,GF04,Affari economici,PC_GDP,6.0
AT,Austria,2019,GF04,Affari economici,PC_GDP,6.0
AT,Austria,2020,GF04,Affari economici,PC_GDP,10.1
AT,Austria,2021,GF04,Affari economici,PC_GDP,9.4
AT,Austria,2022,GF04,Affari economici,PC_GDP,8.1
AT,Austria,2023,GF04,Affari economici,PC_GDP,7.4
AT,Austria,2024,GF04,Affari economici,PC_GDP,7.1
AT,Austria,1995,GF05,Protezione dell'ambiente,MIO_EUR,2193.0
AT,Austria,1996,GF05,Protezione dell'ambiente,MIO_EUR,2374.5
AT,Austria,1997,GF05,Protezione dell'ambiente,MIO_EUR,743.0
AT,Austria,1998,GF05,Protezione dell'ambiente,MIO_EUR,831.2
AT,Austria,1999,GF05,Protezione dell'ambiente,MIO_EUR,986.5
AT,Austria,2000,GF05,Protezione dell'ambiente,MIO_EUR,997.1
