year,indicator,label,value
1988,GGXCNL_NGDP,Indebitamento netto (% PIL),-10.6
1989,GGXCNL_NGDP,Indebitamento netto (% PIL),-10.9
1990,GGXCNL_NGDP,Indebitamento netto (% PIL),-11.1
1991,GGXCNL_NGDP,Indebitamento netto (% PIL),-11.1
1992,GGXCNL_NGDP,Indebitamento netto (% PIL),-10.1
1993,GGXCNL_NGDP,Indebitamento netto (% PIL),-9.8
1994,GGXCNL_NGDP,Indebitamento netto (% PIL),-8.8
1995,GGXCNL_NGDP,Indebitamento netto (% PIL),-7.2
1996,GGXCNL_NGDP,Indebitamento netto (% PIL),-6.6
1997,GGXCNL_NGDP,Indebitamento netto (% PIL),-3.0
1998,GGXCNL_NGDP,Indebitamento netto (% PIL),-3.0
1999,GGXCNL_NGDP,Indebitamento netto (% PIL),-1.8
2000,GGXCNL_NGDP,Indebitamento netto (% PIL),-2.4
2001,GGXCNL_NGDP,Indebitamento netto (% PIL),-3.2
2002,GGXCNL_NGDP,Indebitamento netto (% PIL),-2.9
2003,GGXCNL_NGDP,Indebitamento netto (% PIL),-3.2
2004,GGXCNL_NGDP,Indebitamento netto (% PIL),-3.5
2005,GGXCNL_NGDP,Indebitamento netto (% PIL),-4.1
2006,GGXCNL_NGDP,Indebitamento netto (% PIL),-3.6
2007,GGXCNL_NGDP,Indebitamento netto (% PIL),-1.3
2008,GGXCNL_NGDP,Indebitamento netto (% PIL),-2.6
2009,GGXCNL_NGDP,Indebitamento netto (% PIL),-5.1
2010,GGXCNL_NGDP,Indebitamento netto (% PIL),-4.2
2011,GGXCNL_NGDP,Indebitamento netto (% PIL),-3.5
2012,GGXCNL_NGDP,Indebitamento netto (% PIL),-3.0
2013,GGXCNL_NGDP,Indebitamento netto (% PIL),-2.9
2014,GGXCNL_NGDP,Indebitamento netto (% PIL),-2.8
2015,GGXCNL_NGDP,Indebitamento netto (% PIL),-2.5
2016,GGXCNL_NGDP,Indebitamento netto (% PIL),-2.4
2017,GGXCNL_NGDP,Indebitamento netto (% PIL),-2.5
2018,GGXCNL_NGDP,Indebitamento netto (% PIL),-2.2
2019,GGXCNL_NGDP,Indebitamento netto (% PIL),-1.5
2020,GGXCNL_NGDP,Indebitamento netto (% PIL),-9.4
2021,GGXCNL_NGDP,Indebitamento netto (% PIL),-8.9
2022,GGXCNL_NGDP,Indebitamento netto (% PIL),-8.1
2023,GGXCNL_NGDP,Indebitamento netto (% PIL),-7.1
2024,GGXCNL_NGDP,Indebitamento netto (% PIL),-3.4
2025,GGXCNL_NGDP,Indebitamento netto (% PIL),-3.1
2026,GGXCNL_NGDP,Indebitamento netto (% PIL),-2.8
2027,GGXCNL_NGDP,Indebitamento netto (% PIL),-2.6
2028,GGXCNL_NGDP,Indebitamento netto (% PIL),-2.4
2029,GGXCNL_NGDP,Indebitamento netto (% PIL),-2.5
2030,GGXCNL_NGDP,Indebitamento netto (% PIL),-2.5
2031,GGXCNL_NGDP,Indebitamento netto (% PIL),-2.7
1988,GGXWDG_NGDP,Debito pubblico lordo (% PIL),95.7
1989,GGXWDG_NGDP,Debito pubblico lordo (% PIL),98.4
1990,GGXWDG_NGDP,Debito pubblico lordo (% PIL),101.7
1991,GGXWDG_NGDP,Debito pubblico lordo (% PIL),105.3
1992,GGXWDG_NGDP,Debito pubblico lordo (% PIL),113.0
1993,GGXWDG_NGDP,Debito pubblico lordo (% PIL),124.1
1994,GGXWDG_NGDP,Debito pubblico lordo (% PIL),130.8
1995,GGXWDG_NGDP,Debito pubblico lordo (% PIL),119.1
1996,GGXWDG_NGDP,Debito pubblico lordo (% PIL),118.9
1997,GGXWDG_NGDP,Debito pubblico lordo (% PIL),116.5
1998,GGXWDG_NGDP,Debito pubblico lordo (% PIL),113.9
1999,GGXWDG_NGDP,Debito pubblico lordo (% PIL),113.1
2000,GGXWDG_NGDP,Debito pubblico lordo (% PIL),108.7
2001,GGXWDG_NGDP,Debito pubblico lordo (% PIL),108.5
2002,GGXWDG_NGDP,Debito pubblico lordo (% PIL),105.9
2003,GGXWDG_NGDP,Debito pubblico lordo (% PIL),105.1
2004,GGXWDG_NGDP,Debito pubblico lordo (% PIL),104.7
2005,GGXWDG_NGDP,Debito pubblico lordo (% PIL),106.2
2006,GGXWDG_NGDP,Debito pubblico lordo (% PIL),106.3
