year,real_growth,inflation,nominal_growth,gdp_bn,price_index,source
1995,,,,900.3697,,Eurostat
1996,,,,1035.6107,,Eurostat
1997,,,,1099.0462,,Eurostat
1998,,,,1136.9265,,Eurostat
1999,,,,1177.5497,,Eurostat
2000,,,,1244.7441999999999,,Eurostat
2001,,,,1308.6231,,Eurostat
2002,,,,1355.5223,,Eurostat
2003,,,,1399.386,,Eurostat
2004,,,,1457.3562,,Eurostat
2005,,,,1499.0731,,Eurostat
2006,,,,1559.8642,,Eurostat
2007,,,,1621.7145,,Eurostat
2008,,,,1643.7188,,Eurostat
2009,,,,1584.1068,,Eurostat
2010,,,,1617.9447,,Eurostat
2011,,,,1657.3622,,Eurostat
2012,,,,1632.8985,,Eurostat
2013,,,,1621.2607,,Eurostat
2014,,,,1635.8707,,Eurostat
2015,,,,1663.2776999999999,,Eurostat
2016,,,,1704.8567,,Eurostat
2017,,,,1744.493,,Eurostat
2018,,,,1777.7443999999998,,Eurostat
2019,,,,1804.0668,,Eurostat
2020,,,,1670.0119,,Eurostat
2021,,,,1842.5074,,Eurostat
2022,,,,1998.0726000000002,,Eurostat
2023,,,,2142.7444,,Eurostat
2024,,,,2202.0312000000004,,Eurostat
2025,,,,2258.0487000000003,1.0,Eurostat
2026,0.5,2.6,3.112999999999988,2328.341756031,1.026,FMI WEO
2027,0.5,2.4,2.9119999999999813,2396.1430679666223,1.050624,FMI WEO
2028,0.8,2.3,3.118399999999988,2470.864393398093,1.074788352,FMI WEO
2029,0.7,2.0,2.713999999999994,2537.923653034917,1.09628411904,FMI WEO
2030,0.7,2.0,2.713999999999994,2606.8029009782845,1.1182098014208,FMI WEO
2031,0.7,2.0,2.713999999999994,2677.5515317108348,1.140573997449216,FMI WEO
2032,0.7,2.0,2.713999999999994,2750.220280281467,1.1633854773982002,estrapolazione (ultimo anno FMI)
2033,0.7,2.0,2.713999999999994,2824.8612586883055,1.1866531869461643,estrapolazione (ultimo anno FMI)
2034,0.7,2.0,2.713999999999994,2901.5279932491057,1.2103862506850875,estrapolazione (ultimo anno FMI)
2035,0.7,2.0,2.713999999999994,2980.2754629858864,1.2345939756987894,estrapolazione (ultimo anno FMI)
