year,scenario,label,core_share,related_share,total_share,gdp_bn,price_index,core_bn,related_bn,total_bn,extra_vs_baseline_bn,cumulative_extra_bn,core_bn_const,related_bn_const,total_bn_const,extra_vs_baseline_bn_const,cumulative_extra_bn_const,sanita_bn,extra_pct_sanita,extra_years_of_sanita,istruzione_bn,extra_pct_istruzione,extra_years_of_istruzione,population_m,extra_per_capita_eur,extra_per_capita_eur_const
2026,baseline,"Quota 2026 costante (2,8% del PIL)",2.1,0.7,2.8,2328.341756031,1.026,48.895176876651,16.298392292217,65.193569168868,0.0,0.0,47.656117813499996,15.885372604499999,63.541490417999995,0.0,0.0,153.670555898046,0.0,0.0,93.13367024124,0.0,0.0,58.879,0.0,0.0
2027,baseline,"Quota 2026 costante (2,8% del PIL)",2.1,0.7,2.8,2396.1430679666223,1.050624,50.31900442729907,16.773001475766353,67.09200590306541,0.0,0.0,47.8943984025675,15.964799467522495,63.85919787008998,0.0,0.0,158.14544248579708,0.0,0.0,95.84572271866489,0.0,0.0,58.806,0.0,0.0
2028,baseline,"Quota 2026 costante (2,8% del PIL)",2.1,0.7,2.8,2470.864393398093,1.074788352,51.888152261359956,17.29605075378665,69.1842030151466,0.0,0.0,48.27755358978803,16.092517863262675,64.3700714530507,0.0,0.0,163.07704996427415,0.0,0.0,98.83457573592372,0.0,0.0,58.716,0.0,0.0
2029,baseline,"Quota 2026 costante (2,8% del PIL)",2.1,0.7,2.8,2537.923653034917,1.09628411904,53.296396713733266,17.76546557124442,71.06186228497768,0.0,0.0,48.615496464916546,16.205165488305514,64.82066195322206,0.0,0.0,167.50296110030453,0.0,0.0,101.51694612139669,0.0,0.0,58.611,0.0,0.0
2030,baseline,"Quota 2026 costante (2,8% del PIL)",2.1,0.7,2.8,2606.8029009782845,1.1182098014208,54.742860920543976,18.24762030684799,72.99048122739195,0.0,0.0,48.95580494017095,16.318601646723646,65.27440658689459,0.0,0.0,172.0489914645668,0.0,0.0,104.27211603913138,0.0,0.0,58.493,0.0,0.0
2031,baseline,"Quota 2026 costante (2,8% del PIL)",2.1,0.7,2.8,2677.5515317108348,1.140573997449216,56.228582165927534,18.74286072197584,74.97144288790336,0.0,0.0,49.298495574752145,16.43283185825071,65.73132743300285,0.0,0.0,176.71840109291512,0.0,0.0,107.10206126843339,0.0,0.0,58.364,0.0,0.0
2032,baseline,"Quota 2026 costante (2,8% del PIL)",2.1,0.7,2.8,2750.220280281467,1.1633854773982002,57.754625885910805,19.251541961970265,77.00616784788106,0.0,0.0,49.64358504377541,16.547861681258468,66.19144672503387,0.0,0.0,181.51453849857683,0.0,0.0,110.00881121125867,0.0,0.0,58.364,0.0,0.0
2033,baseline,"Quota 2026 costante (2,8% del PIL)",2.1,0.7,2.8,2824.8612586883055,1.1866531869461643,59.32208643245442,19.774028810818137,79.09611524327255,0.0,0.0,49.99109013908183,16.663696713027274,66.6547868521091,0.0,0.0,186.44084307342817,0.0,0.0,112.99445034753222,0.0,0.0,58.364,0.0,0.0
2034,baseline,"Quota 2026 costante (2,8% del PIL)",2.1,0.7,2.8,2901.5279932491057,1.2103862506850875,60.93208785823123,20.31069595274374,81.24278381097496,0.0,0.0,50.3410277700554,16.780342590018464,67.12137036007385,0.0,0.0,191.50084755444098,0.0,0.0,116.06111972996423,0.0,0.0,58.364,0.0,0.0
2035,baseline,"Quota 2026 costante (2,8% del PIL)",2.1,0.7,2.8,2980.2754629858864,1.2345939756987894,62.58578472270362,20.861928240901204,83.44771296360481,0.0,0.0,50.69341496444578,16.897804988148593,67.59121995259437,0.0,0.0,196.69818055706853,0.0,0.0,119.21101851943546,0.0,0.0,58.364,0.0,0.0
2026,core_35,"Solo core al 3,5% (4,2% totale)",2.1,0.7,2.8,2328.341756031,1.026,48.895176876651,16.298392292217,65.193569168868,0.0,0.0,47.656117813499996,15.885372604499999,63.541490417999995,0.0,0.0,153.670555898046,0.0,0.0,93.13367024124,0.0,0.0,58.879,0.0,0.0
2027,core_35,"Solo core al 3,5% (4,2% totale)",2.2555555555555555,0.7,2.9555555555555557,2396.1430679666223,1.050624,54.04633808858048,16.773001475766353,70.81933956434685,3.7273336612814347,3.7273336612814347,51.442131617572485,15.964799467522495,67.406931085095,3.5477332150050205,3.5477332150050205,158.14544248579708,2.3569023569023706,0.023569023569023705,95.84572271866489,3.8888888888889124,0.038888888888889125,58.806,63.383560542826146,60.329442829048396
2028,core_35,"Solo core al 3,5% (4,2% totale)",2.4111111111111114,0.7,3.1111111111111116,2470.864393398093,1.074788352,59.57528592970958,17.29605075378665,76.87133668349624,7.687133668349645,11.41446732963108,55.42978375123811,16.092517863262675,71.52230161450079,7.152230161450099,10.69996337645512,163.07704996427415,4.713804713804727,0.07070707070707098,98.83457573592372,7.7777777777778,0.11666666666666713,58.716,130.92059520998782,121.81058248944238
2029,core_35,"Solo core al 3,5% (4,2% totale)",2.566666666666667,0.7,3.2666666666666666,2537.923653034917,1.09628411904,65.14004042789621,17.76546557124442,82.90550599914062,11.843643714162937,23.258111043794017,59.41894012378689,16.205165488305514,75.6241056120924,10.803443658870334,21.503407035325452,167.50296110030453,7.070707070707065,0.14141414141414163,101.51694612139669,11.666666666666657,0.23333333333333373,58.611,202.07202938293045,184.3245066432979
