anno,pil_mld_eur,indice_prezzi,total_share__baseline,total_share__core_35,total_share__gov_path,total_bn__baseline,total_bn__core_35,total_bn__gov_path,total_bn_const__baseline,total_bn_const__core_35,total_bn_const__gov_path,extra_vs_baseline_bn__baseline,extra_vs_baseline_bn__core_35,extra_vs_baseline_bn__gov_path,cumulative_extra_bn__baseline,cumulative_extra_bn__core_35,cumulative_extra_bn__gov_path,cumulative_extra_bn_const__baseline,cumulative_extra_bn_const__core_35,cumulative_extra_bn_const__gov_path
2026,2328.3,1.03,2.8,2.8,2.8,65.19,65.19,65.19,63.54,63.54,63.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2027,2396.1,1.05,2.8,2.96,3.0,67.09,70.82,71.88,63.86,67.41,68.42,0.0,3.73,4.79,0.0,3.73,4.79,0.0,3.55,4.56
2028,2470.9,1.07,2.8,3.11,3.2,69.18,76.87,79.07,64.37,71.52,73.57,0.0,7.69,9.88,0.0,11.41,14.68,0.0,10.7,13.76
2029,2537.9,1.1,2.8,3.27,3.46,71.06,82.91,87.74,64.82,75.62,80.03,0.0,11.84,16.68,0.0,23.26,31.35,0.0,21.5,28.97
2030,2606.8,1.12,2.8,3.42,3.71,72.99,89.21,96.82,65.27,79.78,86.59,0.0,16.22,23.83,0.0,39.48,55.19,0.0,36.01,50.28
2031,2677.6,1.14,2.8,3.58,3.97,74.97,95.8,106.34,65.73,83.99,93.23,0.0,20.83,31.37,0.0,60.3,86.55,0.0,54.27,77.78
2032,2750.2,1.16,2.8,3.73,4.23,77.01,102.67,116.3,66.19,88.26,99.96,0.0,25.67,39.29,0.0,85.97,125.84,0.0,76.33,111.56
2033,2824.9,1.19,2.8,3.89,4.49,79.1,109.86,126.72,66.65,92.58,106.78,0.0,30.76,47.62,0.0,116.73,173.46,0.0,102.25,151.68
2034,2901.5,1.21,2.8,4.04,4.74,81.24,117.35,137.62,67.12,96.95,113.7,0.0,36.11,56.37,0.0,152.84,229.83,0.0,132.08,198.26
2035,2980.3,1.23,2.8,4.2,5.0,83.45,125.17,149.01,67.59,101.39,120.7,0.0,41.72,65.57,0.0,194.56,295.4,0.0,165.88,251.37
